차종,차량 구분,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Bayon (BC3 CUV),휴양용 차량,2316,1846,2840,2316,2241,2749,1773,1704,2755,2905,2316,2550,2596,2431,2353,2321,2625,2689,1806,2353,2878,2002,2501,1830,1576,1557
Casper (AX EV),휴양용 차량,439,356,396,389,408,364,356,344,412,394,365,418,277,268,347,336,347,408,292,259,451,350,352,450,868,568
Elantra,승용차,117,131,108,116,147,116,116,90,116,116,116,116,90,90,74,90,98,100,90,90,90,64,90,90,98,98
G70,승용차,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
G80 (DH),승용차,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
GV60 (JW EV),휴양용 차량,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
GV70 (JK),휴양용 차량,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
GV70 EV (JK EV),휴양용 차량,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
GV80 (JX),휴양용 차량,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
IONIQ (EV),승용차,747,747,747,747,747,747,747,747,747,747,747,747,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
IONIQ (HEV),승용차,745,745,745,745,745,745,745,745,745,745,745,745,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
IONIQ (PHEV),승용차,741,741,741,741,741,741,741,741,741,741,741,741,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
IONIQ 5 (NE N),휴양용 차량,252,240,258,243,281,252,251,213,252,257,248,258,189,189,189,191,151,141,187,173,240,187,189,176,279,329
IONIQ 5 (NE),휴양용 차량,2331,1811,1972,2220,2188,2400,2040,2213,1987,1928,1403,1414,938,1193,1415,1411,1193,1193,1395,1193,1232,1193,872,1033,1817,1490
Ioniq6 EV (CE_EV),승용차,902,803,865,1084,827,893,1067,902,910,862,804,932,683,452,553,591,453,541,553,553,553,398,427,644,495,471
Kona (EV),휴양용 차량,266,217,235,246,222,264,229,183,222,226,188,235,188,188,188,188,188,188,188,188,188,188,188,188,1277,1203
Kona (HEV),휴양용 차량,266,217,235,246,222,264,229,183,222,226,188,235,181,181,181,181,181,181,181,181,181,181,181,181,1277,1203
Kona (OS EV),휴양용 차량,536,505,505,505,505,505,507,505,607,505,505,505,314,332,314,314,314,312,314,314,314,314,314,314,655,630
Kona (OS HEV),휴양용 차량,947,947,947,947,947,947,947,947,947,947,947,947,1138,1053,1119,1208,1203,1286,1054,1013,1060,1011,1001,1100,901,891
Kona (OS),휴양용 차량,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,640,640,640,640,640,640,640,640,640,640,640,640,1277,1203
Kona (Ose- EV),휴양용 차량,1754,1812,1754,1803,2134,1754,1754,1754,1619,1754,1754,1754,874,874,874,874,874,874,874,874,874,874,874,874,874,874
Kona (SX2 HEV),휴양용 차량,1348,1348,1348,1348,1348,1348,1525,1528,1348,1348,1348,1348,2790,2790,2784,3449,3291,2790,3240,2324,3448,2784,2617,2256,2593,2384
Kona (SX2),휴양용 차량,894,894,676,894,894,894,839,844,894,894,894,894,1454,1503,1374,1588,1722,1652,1209,1374,1032,1124,1202,1374,931,999
Kona (SXe_EV),휴양용 차량,1196,1026,1268,1409,1268,1592,1256,1268,1268,918,1547,1409,2373,1817,2373,2341,2347,2672,2396,1904,2373,2622,2021,2345,1927,1556
Kona N,휴양용 차량,266,217,235,246,222,264,229,183,222,226,188,235,183,183,183,183,183,183,183,183,183,183,183,183,1277,1203
Kona N (OS N),휴양용 차량,164,120,170,168,166,164,162,160,158,156,154,152,150,148,146,144,142,140,138,136,134,126,134,134,884,835
Light CV,경량 상업용 차량,340,290,366,340,340,340,307,268,340,289,357,414,296,273,273,273,273,274,273,273,273,273,319,273,148,292
NEXO (FE),휴양용 차량,1101,1201,1031,1401,1031,1021,1101,1041,1071,1091,1011,1201,1031,1061,1201,1301,1021,1401,1311,1211,1201,1141,1101,1031,1277,1203
Palisade (LX2),휴양용 차량,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
Santa Fe HEV (MX5 HEV),휴양용 차량,584,522,564,625,582,508,597,556,595,570,545,608,431,322,435,461,306,435,435,419,435,496,435,366,483,337
Santa Fe HEV (TM HEV),휴양용 차량,467,307,361,377,306,460,344,266,361,336,264,361,282,282,282,282,282,282,282,282,282,282,282,282,1277,1203
Santa Fe PHEV (MX5 PHEV),휴양용 차량,397,351,398,377,419,324,343,344,405,379,396,436,231,300,368,261,290,323,288,269,290,357,309,290,483,337
Santa Fe PHEV (TM PHEV),휴양용 차량,299,299,299,272,355,299,330,281,299,365,270,244,173,173,173,173,173,173,173,173,173,173,173,173,173,173
Santa-Fe (DM),휴양용 차량,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
Santa-Fe (TM),휴양용 차량,230,242,242,260,258,230,242,181,205,242,198,242,212,212,212,212,212,212,212,212,212,212,212,212,1277,1203
SantaFe (MX5),휴양용 차량,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
Sonata (DN8),승용차,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
Tucson (NX4e HEV),휴양용 차량,3373,3959,4367,4423,4543,5291,3606,4367,5608,4269,4501,4105,3725,3287,4601,4289,4181,5065,5024,4601,4601,4637,4885,4374,4042,3964
Tucson (NX4e PHEV),휴양용 차량,1476,1322,1667,1934,2120,2166,1331,1667,1640,1771,1741,1394,1195,1329,1329,1227,1530,1302,1164,961,1599,1315,1571,1252,1477,1557
Tucson (NX4e),휴양용 차량,3622,4449,5106,4779,5322,5966,5377,5106,5698,5432,5219,4874,3949,4372,4519,4153,5081,5239,4218,4519,4665,4148,4811,3839,2930,2854
Tucson (TLe),휴양용 차량,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,800,800,800,800,800,800,800,800,800,800,800,800,1277,1203
Venue (QX),휴양용 차량,923,898,974,979,976,1053,964,868,1029,1001,955,924,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
i10 (AC3),승용차,4791,3820,5365,3514,4714,4401,4593,4401,4762,3965,4564,3953,4120,4148,5293,4120,5490,4914,5534,3781,6136,5257,4988,3511,4224,3964
i20 (BC3),승용차,3100,3221,5174,4437,4722,4607,4908,3119,4747,3872,3459,3041,3843,3372,5506,5496,5270,5266,4106,3541,4922,4242,3600,3395,4167,3964
i20 (GB),승용차,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
i20 N (BC3 N),승용차,442,442,442,360,444,342,442,379,442,442,442,442,347,347,347,347,347,340,347,347,347,347,347,347,357,357
i30 (PD N),승용차,408,320,386,431,474,289,281,386,434,405,390,451,314,369,314,314,314,314,314,314,314,314,314,314,330,330
i30 (PD),승용차,3348,2848,3549,3083,3064,3300,2765,2188,2885,2689,2983,2557,2695,2910,3392,3294,3376,2799,3166,2323,2920,3326,3151,2616,2276,1935
i40 (VF),승용차,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
ix20 (JC),휴양용 차량,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203,1431,1444,1435,1666,1399,1112,1596,1511,1374,1281,1277,1203
