차종,차량유형,연료,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
Bayon,SUV,내연기관,1521,1846,2840,1343,2241,2749,1773,1704,2755,2905,3566,2550,2596,2431,3072,2321,2625,2689,1806,1490,2878,2002,2501,1830,1576
Casper,SUV,전기차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,868
Elantra,세단,내연기관,117,131,108,181,147,237,198,90,40,31,80,30,51,34,74,118,98,100,246,176,51,64,31,34,14
G70,세단,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G80,세단,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV60,SUV,전기차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV70,SUV,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV70 EV,SUV,전기차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GV80,SUV,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IONIQ,해치백,전기차,76,3,74,12,0,2,0,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IONIQ 5,SUV,내연기관,2331,1811,1972,2220,2188,2400,2040,2213,1987,1928,1403,1414,5,303,253,191,151,141,187,173,240,187,265,176,190
Ioniq6 EV,세단,전기차,267,803,865,1084,827,893,1067,1505,910,862,804,932,683,452,986,591,453,541,370,348,738,398,427,644,249
Kona,SUV,내연기관,1701,1563,2640,2217,1729,2831,753,318,210,69,48,17,5,2,6,2,2,0,0,1,0,0,0,0,931
Kona N,SUV,내연기관,164,120,339,471,329,108,86,67,105,98,79,68,21,6,5,5,1,1,0,0,0,0,3,0,0
NEXO,SUV,내연기관,44,2,9,6,5,16,9,0,1,2,2,1,0,2,0,0,1,1,1,4,1,0,1,0,0
Palisade,SUV,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Fe HEV,SUV,전기차,467,307,486,377,306,460,344,266,512,336,264,204,170,87,155,60,49,34,13,0,8,9,7,7,483
Santa Fe PHEV,SUV,전기차,200,127,161,272,355,498,330,281,483,365,270,244,203,146,123,66,60,55,61,55,17,31,41,17,39
Santa-Fe,SUV,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SantaFe,SUV,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonata,세단,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tucson,SUV,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,2930
Venue,SUV,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i10,해치백,내연기관,4791,3820,5365,3514,4714,5812,4593,2961,4762,3965,4564,3953,4120,4148,5293,4120,5490,6588,5534,3781,6136,5257,4988,3511,4224
i20,해치백,내연기관,3100,3221,5174,4437,4722,4607,4908,3119,4747,3872,3459,3041,3843,3372,5506,5496,5270,5266,4106,3541,4922,4242,3600,3395,0
i20 N,해치백,내연기관,202,194,600,360,444,342,298,379,663,592,597,634,641,521,947,562,456,340,242,167,110,72,48,53,30
i30,해치백,내연기관,408,320,506,431,474,289,281,241,434,405,390,451,493,369,878,630,455,623,106,69,58,32,15,38,2276
i40,해치백,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ix20,MPV,내연기관,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
