코드(계정항목),계정항목,단위,변환,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02
FIEF,국별수입(관세청),천달러,원자료,59037259,55370498,59635920,51940137,54251194,53055480,48738114,51009758,50972525,53440582,51997805,53122854,54474175,48210988,52415190,54814253,53146033,49086044,53850545,54053264,52119854,54333812,50719115,54876760,50980009,48300091
FIEF24,수입총액(네덜란드),천달러,원자료,528925,378822,741785,960546,972282,774782,487756,612087,801869,418656,457020,927417,288616,564400,692048,468368,539538,721330,264057,394462,1217287,519018,1067267,1440366,484345,747095
FIEF04,수입총액(대만),천달러,원자료,1750162,1898312,2450546,1895947,2123176,1936737,2065090,2115728,1961989,2168182,2068737,1936033,2196900,2191432,2129274,2298421,2792061,2175189,2554719,2572950,2899249,2680260,2821011,2911012,2227286,2396046
FIEF23,수입총액(독일),천달러,원자료,1960996,2219023,1962422,1932093,2108696,2529182,1623136,1724786,1710587,1931809,1999468,1908972,1517842,1732624,1815963,1949909,1976566,2054904,1974760,1838177,1893821,1943378,1626857,1976176,1388092,1658701
FIEF13,수입총액(러시아),천달러,원자료,792251,868371,915577,816895,806344,749080,851819,572535,627670,596107,613765,681573,531098,602597,557421,528178,619769,453789,502672,897327,589937,552215,503175,534555,502117,485402
FIEF06,수입총액(말레이지아),천달러,원자료,1368578,1404046,1373198,1027784,1388024,1407501,1150304,1108665,1130890,1286527,1247293,1344332,1367470,1116085,1061580,1027196,1015887,1135521,1049016,1256212,1039620,1215787,1376059,1321543,1346187,1383914
FIEF31,수입총액(미국),천달러,원자료,6995423,6011957,6675931,5510740,6017116,5531066,5319602,5390722,5122090,6212986,6204912,6279486,6138690,5612425,5974872,6012384,6374600,5495891,7918423,6256968,5457728,5967398,5437975,5474042,5830591,5733114
FIEF33,수입총액(브라질),천달러,원자료,691464,655940,660549,437377,687933,549849,460788,378265,637345,686141,383632,494994,680258,662164,450516,650669,654813,283156,627358,413218,636443,869201,551543,818658,682122,477789
FIEF11,수입총액(사우디아라비아),천달러,원자료,2768103,2688095,3016325,2870403,2445653,2243517,2539245,2692435,2996731,2569486,2951579,2980977,2662200,2367782,2608307,2842864,3040377,2405525,2762350,2559808,2588557,2528307,2454926,2681202,2460780,2363627
FIEF21,수입총액(스위스),천달러,원자료,263819,270381,301251,263128,284086,270834,257309,242943,273498,273292,245903,289170,281670,261348,287511,354205,290400,272641,327340,264142,270839,300220,313633,283592,284267,350709
FIEF05,수입총액(싱가포르),천달러,원자료,875162,1046821,830379,1136358,853154,1068765,1135536,899442,803279,880185,851918,797607,986131,796749,883606,861347,887766,671140,908898,911314,816070,1057366,732739,1048227,1022627,870429
FIEF12,수입총액(아랍에미레이트),천달러,원자료,1324980,1677311,1413473,1017651,1289064,1166570,783278,1430556,1862813,1453031,1463943,1540092,1880677,1379153,1844291,1995393,1282991,1633218,1253172,1471821,1335518,1496698,1435526,979744,1448556,1379878
FIEF22,수입총액(영국),천달러,원자료,387517,439301,442291,358361,476012,414505,343623,429855,309839,579909,594997,371604,258248,540493,467188,369946,271729,413638,381209,350886,482700,331324,305742,397476,332268,357435
FIEF25,수입총액(이탈리아),천달러,원자료,731051,754889,695871,666457,783169,708364,735240,669224,609814,635275,730167,611014,665375,602869,735552,688898,632277,659882,701334,583936,599679,685031,547007,622631,460724,587914
FIEF07,수입총액(인도),천달러,원자료,543955,497612,615276,518938,562549,554432,544607,596407,552159,598427,603715,540284,543975,557388,497626,520096,478546,518149,570946,585112,427713,544803,554900,634821,536023,538271
FIEF09,수입총액(인도네시아),천달러,원자료,1395647,1243201,1100658,871189,941480,996697,715250,1095404,986087,797384,896620,1106283,1337312,1066652,1028617,1077470,1084435,814901,954868,1203103,1108236,986815,1032634,873922,1097137,984417
FIEF01,수입총액(일본),천달러,원자료,3953682,4227698,4478961,4032396,3722640,4332565,3876242,3656641,3804958,3932137,3717928,3920619,3754292,3722010,4387229,4130088,3443508,3507812,4107327,3914328,4085601,4378169,3991893,4476472,3584619,4192912
FIEF02,수입총액(중국),천달러,원자료,13140061,11025734,13189605,11794076,12379598,11799602,11172938,11688870,11143265,12549078,12087237,10887275,12396801,9426721,11407429,12424914,12287615,10938124,11942676,11482747,11219436,12513223,11445316,12382767,11201138,9479431
FIEF34,수입총액(캐나다),천달러,원자료,460224,416095,696620,458249,741439,542368,418208,548152,405560,439504,512200,556007,594815,554845,698797,636788,424059,586288,553685,518503,685883,557844,547829,493392,533490,439839
FIEF10,수입총액(태국),천달러,원자료,554790,611092,722129,589867,684943,688322,665275,603123,563927,567663,536154,579304,551771,554790,601679,635015,608561,620336,683549,618702,572159,574879,587340,564972,459837,609024
FIEF32,수입총액(파나마),천달러,원자료,52135,3129,31608,25969,43780,31449,25603,36124,23845,3078,23527,29112,12544,3753,2700,2014,1836,1592,16030,19592,50964,3275,2700,29961,2933,2345
FIEF26,수입총액(프랑스),천달러,원자료,667032,600310,667660,717579,637588,637672,660019,620368,691847,799799,561171,804515,588417,544146,613426,640653,615879,733378,646420,808303,533787,648864,624684,1148761,482425,816162
FIEF08,수입총액(필리핀),천달러,원자료,462396,401173,413624,335071,376977,378556,389091,381792,320073,410277,402983,373077,398092,397703,421856,465973,357150,314716,380005,357102,379433,385331,294058,279178,228922,271349
FIEF41,수입총액(호주),천달러,원자료,4110352,3485093,2770419,2512287,2438869,2487239,2057423,2516679,2274175,2601078,2494499,3074843,3308582,2336243,2401773,2974887,2271405,2369197,1874732,2745505,2385734,2609725,2386186,2292308,2871222,2330709
FIEF03,수입총액(홍콩),천달러,원자료,108797,96675,179947,238334,139214,151950,137573,114826,158123,193224,183056,130152,189043,222994,291246,376345,141282,91409,103876,235626,102315,127386,243694,131060,183342,450204
